productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
5707414,Surtido seco,Delicatessen/Especias/Mostaza,ES,Tabasco,5707414,ALIMENTACION SECA,SALSAS,OTRAS SALSAS,OTRAS SALSAS,"Mostaza, salsa de rÃ¡bano picante, vinagre, salsas para ensalada, salsas para carne, otras salsas, otros",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
4531,Nevera,Mopro (nev),ES,Simon Life Florida,"","","","","",Yogures para beber / bebidas,false,false,Reducido,10.0,Keines,Fresco
6192,Surtido seco,Comida animales,ES,AFFINITY BON MENU DOG 4KG+500GRATIS,"",PET CARE AND FOOD,PET FOOD,DOG FOOD,DOG SECO,Comida seca para perros,false,true,Reducido,10.0,Keines,Surtido NF
6820,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo pan de horno barra blanca,"",ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN MOLDE FRESCO,PAN MOLDE FRESCO,"Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
82252,Fruta y Verdura,Verdura,ES,Mix de pimientos,82252,"","","","",Verduras (FeingemÃ¼se),false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5706056,Carne,Carne Fresca,ES,Granja ecopirineos Lomo ecolÃ³gico,5706056,FRESCOS PERECEDEROS,CARNE FRESCA,VACUNO,VACUNO,Carne de vacuno,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
961,Surtido seco,Art. Hogar / medias,ES,Revista stikeez 1,"",ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,Otros artÃ­culos domÃ©sticos,false,true,Superreducido,4.0,Keines,Surtido NF
982,Fruta y Verdura,Verdura,ES,AJOS TIERNOS,"","","","","",Verduras (FeingemÃ¼se),false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
1662,Surtido seco,Cosmetic,ES,Johnson's Baby champÃº surt.,"",PRODUCTOS PARA BEBE,PRODS. CORPORALES BABY,PRODS. CORPORALES BABY,PRODS. CORPORALES BABY,Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
3141,Nevera,Embutidos (Nevera),ES,CAMPOFRIO SALAMI SALAM DE VARA,"","","","","",Salami (pieza),false,false,Reducido,10.0,Keines,Fresco
5704513,Surtido seco,BollerÃ­a / Chips,ES,Vicente Vidal Patatas slight,5704513,"","","","","Aperitivos salados, patatas fritas, productos extrusionados",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5704541,Nevera,Embutidos (Nevera),ES,El Pozo JamÃ³n cocido extra maxi,5704541,FRESCOS PERECEDEROS,CHARCUTERIA,FIAMBRE Y EMBUTIDOS,JAMON COCIDO,JamÃ³n cocido (lonchas),false,false,Reducido,10.0,Keines,Fresco
5706938,Surtido seco,Vinos / Cavas,ES,MaciÃ  Batle Vino tinto Mallorca,5706938,BEBIDAS,TOTAL VINOS,TINTO,MESA,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5707366,Surtido seco,Papel / Folios / Higiene,ES,Colhogar Papel de cocina para todo,5707366,"","","","","Papel higiÃ©nico, algodÃ³n",false,true,Ordinario,21.0,Keines,Surtido NF
5800967,Surtido seco,Bebidas sin alcohol,ES,Fonteide Agua,5800967,"","","","",Agua,false,false,Reducido,10.0,Keines,Bebidas
772,Fruta y Verdura,Verdura,ES,Cebolla 2kg,"","","","","",Patatas/cebollas,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
1407,Surtido seco,Vinos / Cavas,ES,MUYFINA MANZANILLA 15%,"","","","","","Cava, vino espumoso, vino de aguja",false,false,Ordinario,21.0,18,Bebidas
3530,Surtido seco,Golosinas,ES,HARIBO BARBIE,"","","","","","Caramelos, caramelos masticables de fruta",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4813,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,GALLO SPAGHETTI CON HUEVO,"","","","","",Pasta,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5783,Surtido seco,CafÃ©/TÃ©/Cacao,ES,Cola Cao Turbo,"","","","","",Bebidas a base de cacao,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
7889,Surtido seco,Vinos / Cavas,ES,VINO TINTO SALICE SALENTIO DOC RISE,"","","","","",Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
8341,Surtido seco,BollerÃ­a / Chips,ES,GullÃ³n sandwich choco diet nature,5703550,ALIMENTACION SECA,GALLETAS(DULCE/SAL),GALLET.DULCES,RELLENA/SANDWICH,BollerÃ­a,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
9325,Surtido seco,Bebidas sin alcohol,ES,Don SimÃ³n NÃ©ctar disfruta granada s,"","","","","","Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
5703670,Surtido seco,BollerÃ­a / Chips,ES,Vitalday Galletas 5 cereales,5703670,ALIMENTACION SECA,GALLETAS(DULCE/SAL),GALLET.DULCES,RESTO GALLETAS,BollerÃ­a,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5706917,Surtido seco,Conservas carne / Platos preparados,ES,IbÃ©ritos crema de JamÃ³n York,5706917,CONSERVAS,"CONS.CARNE,PATE Y SALCHICHAS",FIAMBRE/EMBUTIDO LATA,FIAMBRE/EMBUTIDO LATA,Conservas de carne / embutido / salchichas,false,false,Reducido,10.0,Keines,Conservas
1753,Surtido seco,Art. Limpieza,ES,KH-7 Pistola sin manchas+pistola ma,"","","","","",Productos de limpieza y lavavajillas,false,true,Ordinario,21.0,Keines,Surtido NF
2962,Carne,Carne Fresca,ES,EL POZO 6 HAMBURGUESAS VACUNO/CERDO,"","","","","",Carne de vacuno,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5596,Surtido seco,Golosinas,ES,Snickers Multipack 4,"",ALIMENTACION SECA,CHOCOLATES Y CREMAS,CHOCOLATINAS&SNACKS,CHOCOLATINAS&SNACKS,Barritas (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
7994,Surtido seco,Cosmetic,ES,Rimmel Barra de labios,5703318,"","","","","Cremas, lociones, leche corporal, maquillaje",false,true,Ordinario,21.0,Keines,Surtido NF
9534,Surtido seco,Art. Hogar / medias,ES,Gin Copa,"","","","","",Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
9949,Surtido seco,Golosinas,ES,MILKA TENDRES MOMENTS MOUSSE AVELLA,"","","","","",Tabletas de chocolate (incl. mini),false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5706882,Carne,Pescado Fresco,ES,Sushi Osaka,5706882,PLATOS COCINADOS,RESTO PLATOS COCIN,RESTO PLATOS COCIN,RESTO PLATOS COCIN,Pescado fresco,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5801052,Surtido seco,Bebidas sin alcohol,ES,Sou tonic TÃ³nica Indian,5801052,"","","","","Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
3045,Surtido seco,Conservas carne / Platos preparados,ES,LA PIARA PATE DE SARDINA PACK 2,"","","","","",Conservas de carne / embutido / salchichas,false,true,Reducido,10.0,Keines,Conservas
3593,Nevera,Queso (nev),ES,CHEVRE CHAUD,"",QUESOS,QUESO FRESCO,Q.FRESC.TRAD.,Q.FRESC.TRAD.,Queso tierno,false,false,Superreducido,4.0,Keines,Fresco
3671,Surtido seco,Conservas carne / Platos preparados,ES,GALLINA BLANCA TALLARINES A LA PARM,"",ALIMENTACION SECA,"SOPAS,CALDOS,PURE,P",PLATOS PREP. DESHIDRAT.,PLATOS PREP. DESHIDRAT.,Platos preparados,false,true,Reducido,10.0,Keines,Conservas
4518,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,X_Antiguo - Ordinario,16.0,Keines,F&V/Plantas y Flores
6196,Frischbrot / Hot Convenience,Bake off,ES,Barra gallega,5702720,FRESCOS PERECEDEROS,PAN FRESCO,PAN FRESCO,PAN FRESCO,"Baguette, panecillos, brezel",false,true,Superreducido,4.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5706552,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Velarte Snackium algas,5706552,ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"PALITO, PICO, PICOLIN","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5800406,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,LasaÃ±a al huevo,5800406,"","","","",Pasta,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
2128,Surtido seco,Art. Hogar / medias,ES,FUJI CARRETE FOTOS 2X36,"","","","","",Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
3255,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,X_Antiguo - Ordinario,16.0,Keines,F&V/Plantas y Flores
3374,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,FITNESS CERALES,"","","","","","Copos de avena, muesli, cereales",false,true,Reducido,10.0,Keines,AlimentaciÃ³n
4493,Surtido seco,Art. Limpieza,ES,Colon Gel Azul,"",DROGUERIA,DETERGENTE,DETERGENTE LAVADORA,LIQUIDO,"Detergentes en polvo, lÃ­quido y en pastillas / suavizante",false,false,Ordinario,21.0,Keines,Surtido NF
4875,Surtido seco,Golosinas,ES,KINDER MAXI,"",ALIMENTACION SECA,CHOCOLATES Y CREMAS,CHOCOLATINAS&SNACKS,CHOCOLATINAS&SNACKS,Otros productos a base de chocolate,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
6853,Surtido seco,Cosmetic,ES,Gliss Mascarilla surtido,"",PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,ACONDICIONADOR Y TRATAMENTO,ACONDICIONADOR Y TRATAMENTO,Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
80571,Fruta y Verdura,Fruta,ES,Sandia negra EAN,80571,"","","","",Melones,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
